	sentiment	text	selected_text	pred	has_pattern	seperate
4346	negative	That`s one of the reasons we thought 'Should we have a kid?' 'Nah - let`s get a piano instead.' You poor buggers	' You poor bugg	you poor buggers	False	True
10934	positive	It will be an Adventure! Have FUN with your 5 yr old and 8 mo old! (You`re brave.) Hope you have a great time!	) Hope you have a great ti	have fun with your 5 yr old and 8 mo old! (you`re brave.) hope you have a great time!	False	True
18251	negative	On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......**** i feel old	**** i feel old	keggers......**** i feel old	False	True
4993	positive	In hysterics at Yaas` email <3 Am writing a speech for Speakers` and doing Food Technology...**** it`s good to be off school on a Monday	**** it`s good	good	False	True
23507	negative	I don`t think they sale Ciroc where I stay..****..thats just my luck	.****.	stay..****..thats just my luck	False	True
23616	positive	Just saw it tonight as well... Great movie!! Hope you`re well mate! Cheers E	.. Grea	great	False	True
2226	negative	1000 = make sure it has the word poo or balls in it Underbelly DOES suck balls... I gave up on it in wk 3.	.. I gave up on it	underbelly does suck	False	True
17335	positive	If I am... so are U, my friend. HA! But the thing is... WE make old look GOOD!	.. WE make old look GOOD	good!	False	True
26977	positive	morning all will be at Warner soon! lots to do, then go to school for some work... hope everyone has a great day!!!	.. hope everyone has a great day!!!	hope everyone has a great day!!!	False	True
14108	positive	thanks hun!! I`m working hard over here... thanks mama!! I yuhh you!!!	.. thanks	thanks	False	True
8814	positive	Oh Duh....I see that now .....thank you....	...than	.....thank you....	True	True
24304	positive	yes........there are many cool things americans cannot watch	...there are many cool	cool	False	True
10144	positive	Late news then it`s off for some much needed zzzzzzz.......Goodnight Tweets.	..Goodnight Tweets.	zzzzzzz.......goodnight	False	True
14193	negative	How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely...I`m so sad	..I`m so sad	completely...i`m so sad	True	True
19129	negative	Gleneagles then champagne receptions....can`t beat it! I`m in alone, my tea was rubbish and Ive been doing housework	..can`t beat it! I`m in alone, my tea was rubbish and Ive been doing housework	receptions....can`t beat it! i`m in alone, my tea was rubbish	True	True
1216	positive	I can remember those Evidence Based Management lectures...definitely the best of EBM	..definitely the best of EBM	lectures...definitely the best	True	True
14907	positive	hey we were doing the same thing this weekend! but it was for the kiddos...gotta love ikea	..gotta love ikea	love	True	True
12702	positive	buy yay for your shoot...hope it goes well! What is it for?	..hope	shoot...hope	True	True
3825	positive	that`s no bueno...hope u feel better!	..hope u feel better!	bueno...hope u feel better!	True	True
21516	positive	morning Newt...hope you are well!	..hope you are well!	newt...hope you are well!	True	True
24040	negative	no...i`m just tired..	..i`m just tired..	no...i`m just tired..	True	True
2573	positive	aww but typing from beyond the grave...impressive	..impressive	grave...impressive	True	True
17345	positive	i saw a piece of that movie...loved it	..loved it	movie...loved it	True	True
17001	positive	Hello ...hehe yup we sure do ...lovely to `see` you ****	..lovely	...lovely	False	True
4142	negative	Need a tickettttt Gah. Ya you`ve got me on there, reason346.. Haven`t listened to dear Elliott for a few weeks...overdue..	..overdue	haven`t listened to dear elliott for a few weeks...overdue..	True	True
1198	negative	Aw...poor thing.	..poor thing.	aw...poor	True	True
15285	negative	*bows* I try...sometimes it is hard	..sometimes it is hard	hard	True	True
7407	negative	lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!	..they dont ever send me notices! just notices for other people to my address!	lucky! been beggin for jury duty for years...they	True	True
3472	positive	what about the dilfs? Oh wait, wrong month....HAPPY MOTHERS DAY	.HAPPY MOTHERS DAY	month....happy	True	True
18777	positive	thats what andy said a few hours ago....I HOPE THEY ACTUALLY ARE	.I HOPE THEY ACTUALLY ARE	ago....i hope	True	True
20013	positive	on our way home after seeing Rodney Atkins in concert...I Love him! Thanks Bob	.I Love him! Thanks Bob	concert...i love	True	True
23371	positive	Graduation tonight I`m gonna miss my boys...Mikey, Dustin, Miles, Charlie, Travy, Nicky, John, Jake, all my boys...I love you guys	.I love you guys	boys...i love you guys	True	True
25266	negative	Eating pringles at nearly 1 AM really reminds me of touring with the Jonas Brothers (don`t ask).......I miss that so much....	.I miss that so much.	ask).......i miss that so much....	False	True
12282	negative	I dunno...I thought I was funny	.I thought I was funny	i dunno...i	True	True
7817	positive	Hey girl, yeah I did..thanks a bunch!! I haven`t started downloading them yet...I totally owe you.	.I totally owe you.	did..thanks a bunch!! i haven`t started downloading them yet...i totally owe you.	True	True
16174	negative	I had a double cheeseburger and fries from The Golden Arches....I will be sicker than a dog tomorrow.	.I will be sicker	arches....i will be sicker	True	True
11348	negative	http://twitpic.com/66ydb - I made sure you got credit at the end of the book...I`m sure I forgot people though.	.I`m sure I forgot people though.	book...i`m sure i forgot	True	True
8593	negative	IDK....I`m trapped at work all day	.I`m trapped at work	trapped	True	True
2438	negative	ha! I know..I`m very ashamed.	.I`m very ashamed.	know..i`m very ashamed.	False	True
4403	negative	Well the one thing where you lay on the floor I couldn`t do all of them....I`m very out of shape	.I`m very out of shape	them....i`m very out of shape	True	True
1095	negative	Depends on what they want for it....I`ve become poor again	.I`ve become poor again	it....i`ve become poor again	True	True
18374	negative	Can`t give blood within a year of getting a tattoo so I can`t give...Im gutted	.Im gutted	gutted	True	True
1392	positive	her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL	.THANK GOD	outside...thank god	True	True
24475	neutral	yea just fun dive..a bit scary sometimes but fun. u like diving?	.a bit scary sometimes but fun.	yea just fun dive..a bit scary sometimes but fun. u like diving?	False	True
25337	neutral	....any sorry wahh!! lub u toooo ;)	.any sorry wahh!! lub u toooo ;)	....any sorry wahh!! lub u toooo ;)	False	True
17028	negative	WHO IS SAYING ALL THIS...are you ignoring me *frowns*	.are you ignoring me *frowns*	this...are you ignoring me *frowns*	True	True
4638	positive	it was great to meet ya katie...awesome shows for sure!! Safe travels home.	.awesome	it was great	True	True
21113	negative	LMAO!I was JUST thinking how I **** hate @ least 3 people that I`m following...but I haven`t unfollowed em` yet. I`m a loon.	.but I haven`t unfollowed em` yet. I`m a loon.	hate	True	True
26761	neutral	so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go iloveyou<3	.but im on stupid vaca in the stupid cayman islands so i cnt go iloveyou<3	so my friends are coming to see you on nyc...but im on stupid vaca in the stupid cayman islands so i cnt go iloveyou<3	True	True
9630	positive	Hey fellow Trojan..congrats on graduation.	.congrats on graduation.	trojan..congrats	False	True
10520	positive	0k...enjoy Dora the Explorer.. greetings to your niece!!	.enjoy	0k...enjoy	True	True
15461	positive	Shoping till you drop david..haha..enjoy your day	.enjoy	david..haha..enjoy	False	True
21330	negative	i`m watchign the garden from the window...far too hot for me	.far too hot for me	window...far too hot for me	True	True
8496	negative	well...gotta grab at least an hour and a half sleep before the girl`s get up for school...gawd the life of multi-taskin` night/mornin`	.gawd the life of multi-taskin` night/mornin`	school...gawd	True	True
22116	positive	another fun night!! chilled wit my homie @ green turtle n the park....good times...good times.	.good	fun	True	True
17411	positive	OOuUch!...good luck	.good luck	oouuch!...good luck	False	True
2400	positive	thanks for the ok ...hope we can tweet more down the road	.hope	thanks	False	True
17599	positive	May be back later...hope you have a good day Byeeee ****	.hope	later...hope you have a good day	True	True
5307	negative	me neither at first...but u gotta go thru somethin first to get there lmao...i almost burnt my house down and that set me str8	.i almost burnt my house	burnt	True	True
20185	positive	jass warn me b4 u go to nxt war...i am there to have fun...	.i am there to have fun.	war...i am there to have fun...	True	True
4478	negative	i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho	.i think i picked a bad wknd	bad	True	True
19791	negative	always tired, always cold and always have a headache. cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!	.i want onscreen keyboard dammit!	dammit!	False	True
10610	negative	its ok..i was kinda feeling ignored anyway And its sunday arvo 330pm. Going out for Lunch & WINE!	.i was kinda feeling ignored	ignored	False	True
26943	negative	Omg i`m on a one year work permit! Going home end of June...i`m really gna miss it #canada	.i`m really gna miss it	june...i`m really gna miss	True	True
664	negative	...i`m sorry about you are still sick u know most of them, AND i know that u will guess the 'pelzer present' ;-)	.i`m sorry	...i`m sorry	False	True
22937	positive	haha..yeah..10th of May..lol..im greeting in advance! haha	.im greeting in advance! haha	haha..yeah..10th of may..lol..im	False	True
20439	negative	I would much rather you didn`t punch yourself in the face...it might hurt	.it might hurt	face...it might hurt	True	True
21315	positive	OMJ I loved it....it was a good laugh and Frankie did a great job, and you guys did too ~Agnes	.it was a good laugh and Frankie did a great job,	loved	True	True
11299	positive	Well thank you darling...it was a pleasure shopping with you...you will see the first pics!	.it was a pleasure shopping with you.	pleasure	True	True
1517	negative	haha IE...it`s expensive!!!! Hm...let me message you later	.it`s expensive!	expensive!!!!	True	True
295	positive	Watching Ellen Love her!! then doing the dishes and tanning ...it`s gorgeous out!	.it`s gorgeous out!	...it`s gorgeous	False	True
4946	negative	Umm..ok..just don`t start cats on fire.. ...promise	.just don`t start cats on fire..	umm..ok..just don`t start cats on fire..	False	True
998	negative	I`ve been unlocked for decades now...just not lucky, never have been. Gottta make my own luck and that involves $$$$$	.just not lucky, never have been.	now...just not lucky,	True	True
18098	positive	Awh, its the last day of the tour I`ll miss hangin w/ and Children 18:3. Soooo...let`s make it an awesome nite in OK!!	.let`s make it an awesome nite	awesome	True	True
21725	positive	Did you see my message mandingo jr.!!..lol. I hope its music i`ll like.	.lol. I hope its music i`ll like.	i hope its music i`ll like.	False	True
1692	positive	14 pages left to read, then it will be time to start all over again, and again. Off to Lunch Duty...love 6th graders	.love 6th graders	duty...love	True	True
20643	positive	_ ay beezy! finally lol its time to hookah so get off twiiter...love ya	.love ya	twiiter...love ya	True	True
19535	positive	hehe...nice try	.nice	hehe...nice try	True	True
9189	positive	Hello pal..nice 2 c u today...have a gr8 week	.nice 2 c u today.	pal..nice	True	True
27	negative	On the way to Malaysia...no internet access to Twit	.no internet	malaysia...no internet access to twit	True	True
17529	negative	my days been aight! been cleaning mostly! went to mcds to check for hader toy..no luck so i ate chickfila	.no luck	toy..no luck	False	True
677	negative	Crisis: forgot my fringe comb I`m with men....no one will help me	.no one will help me	forgot my fringe comb i`m with men....no one will help me	True	True
9816	negative	following 865 and followers 539...not nice	.not nice	539...not nice	True	True
9139	negative	lunch was going home to rest...not well today	.not well today	rest...not well today	True	True
11322	negative	Aw poor you..ironing! Eek! lol It`s raining here too.....prob try and get out with the kids later..nt too exciting im afraid!	.nt too exciting im afraid!	later..nt too exciting im afraid!	True	True
23351	negative	Star Warz day? Really..that is a hot topic? Man..oh man.. I`m just waiting for Star Trek!	.oh man..	really..that is a hot topic? man..oh man.. i`m just waiting for star trek!	False	True
17892	positive	since I`m reading the Twilight series and watching Underworld today, I gotta say...perfect pic for my day	.perfect	say...perfect	True	True
20215	negative	Oh, that sounds bed..poor girl	.poor girl	bed..poor girl	False	True
160	negative	My back hurts...really bad	.really bad	hurts...really bad	True	True
18354	negative	So I played this game , yeahhhhh I lost I`m inlove ughh....really cause I`m such a fool.	.really cause I`m such a fool.	lost i`m inlove ughh....really cause i`m such a fool.	True	True
21922	negative	Yep...sadly I only had 10 min before a meeting!	.sadly	yep...sadly	True	True
16875	negative	Im @ the dentist ....scary people here...	.scary	....scary	False	True
2212	negative	Officially out of my apt Learned some stuff about the crazy neighbors that used to live across the hall....scary!	.scary!	hall....scary!	True	True
19987	negative	very familiar.....sorry you`re feeling that way	.sorry	familiar.....sorry	True	True
17728	negative	im hella pushin for it...how was tha graduation..sorry i couldnt smash thru...	.sorry	graduation..sorry	True	True
397	negative	nothing aimed at you, just joining in...sorry	.sorry	in...sorry	True	True
23841	negative	Yea...looks like it is...sorry abt nt gettin in touch..was hectic	.sorry abt nt gettin in touch..was hectic	is...sorry	True	True
8623	positive	is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!	.stay positive twitterbugs...goodnight!	nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!	True	True
23107	positive	Knight...sweet dreams.	.sweet dreams.	knight...sweet dreams.	True	True
13123	positive	...thanks for the shout out...you might be right about the starving thing.... little lol	.thanks	...thanks	True	True
7662	negative	OMG....that is soooo sad.	.that is soooo sad.	omg....that is soooo sad.	True	True
18085	negative	..dat dude look crazy w/ dat hair on his face lmao ..stop it!! ..the old wrestlers went to TNA thanks Vince ..these dudes are clowns lol	.these dudes are clowns	crazy	False	True
2007	negative	school and the guy i like was talking to the girl i cant stand at all!! ppl are just sooo...ughhhh!!	.ughhhh!	ppl are just sooo...ughhhh!!	True	True
10746	negative	I wish y`all...unfortunately I won`t be able to make it...gotta work my 2nd gig today	.unfortunately	y`all...unfortunately	True	True
8004	negative	You right...we are 'arguing' about nothing...I thought it was healthy conversation	.we are 'arguing' about nothing.	nothing...i thought it was healthy conversation	True	True
26016	negative	He doesn`t need the shirt for that Jane...we just had to suffer another two old eps tonight	.we just had to suffer	suffer	True	True
26780	positive	**left off the 'again' in the title...whoops!	.whoops!	title...whoops!	True	True
23527	positive	Ok, I`m going outside...wish i was playing basketball oh well...	.wish	outside...wish	True	True
18996	positive	did you really just call me Ma`am...wow that was the reality check of the day lol	.wow that was the reality check of the day	ma`am...wow	True	True
2123	positive	lmfaaoooo i just watched the Pink video....you know me to well i love it...soooo me lol	.you know me to well i love it...soooo me lol	i love	True	True
19404	negative	Alright...you missed one crazy party last night	.you missed one crazy party	missed	True	True
8051	negative	..ok brother...did you change your num and not give it to me, AGAIN??? smh..you no good dude	.you no good dude	smh..you no good dude	True	True
6539	negative	hmm...your blog won`t let me post a comment.	.your blog won`t let me post a comment.	won`t let me post a comment.	True	True
2363	positive	wow 41,000 now....your really kickin` Carey`s butt with this competition! See you both very soon!	.your really kickin` Carey`s butt with this competition!	now....your really kickin` carey`s butt with this competition!	True	True
21736	positive	Ben and Jerry...yummmmy!!!	.yummmmy!	jerry...yummmmy!!!	True	True
25508	negative	no.1 dont really mean anything to me anymore :L it did when good old top of the pops was on every sat or friday or something	1 dont really mean anything to me anymore	no.1 dont really mean anything to me anymore	False	True
8779	positive	,.. oh the Mint Lounge ...AWESOME night	AWESOME	...awesome	False	True
13003	positive	_sara I`m sitting in the bus to dublin And listen tokio hotel-reden.And i must laugh.you know why	And i must laugh.y	i must laugh.you	False	True
13002	negative	I want another shake from Ritas.Badly.	Badly.	ritas.badly.	False	True
13843	positive	Mothers day isnt until the 31th here in sweden.But thnx for the pm`s	But thnx for the pm`s	thnx	False	True
9126	negative	Done With Exams...Now Focusing on Summer School...DAYUUMM Life`s Hard	DAYUUMM Life`s Hard	school...dayuumm life`s hard	True	True
13784	negative	Getting ready 2 leave 2 a girl scout metting..Don`t feel like it but I have 2.....	Don`t feel like it	metting..don`t feel like it	False	True
4923	negative	Evaluating my people...Dont like this part of the job	Dont like this part of the job	people...dont like this part of the job	True	True
10305	positive	I`m way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo	Good nite twit-fam!.. God bless!..	lata..good nite twit-fam!.. god bless!..xoxo	False	True
14300	positive	Neville88 am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..HAPPY LADIES DAY 2MORO THEN...is dat better	HAPPY	far..happy	True	True
5917	negative	Does anyone know how to scale a pic down I`m trying to change my pic but all my pics r 2 big n I keep cropping them...HELP	HELP	i keep cropping them...help	True	True
17151	positive	made breakfast today......Happy mother`s day ..	Happy	today......happy	False	True
10178	positive	Going to the alley tonite..Happy Birthday prima	Happy	tonite..happy	False	True
20655	positive	He he ...Happy #star wars day! May the 4th be with you Brilliant!!	Happy #star wars day!	...happy	False	True
12922	positive	Going to bed, busy day tomorrow...Happy Mother`s Day Madre! Te Amo!	Happy Mother`s Day	tomorrow...happy	True	True
23149	positive	Why is it that America celebrates mother`s day on a different day to England? Anyhooo...Happy Mother`s Day 2 All American Mumzys! x	Happy Mother`s Day	anyhooo...happy	True	True
25364	positive	Waking up .....working....Happy as can be! Its gonna be a great day today... I can see it..and im not sore from Running yesterday!!!	Happy as can be!	.....working....happy as can be! its gonna be a great	True	True
20450	positive	I really want to be a star...Hope Flawless will work	Hope Fl	star...hope	True	True
1011	positive	Think I`ll go enjoy the sun`s rays again...I LOVE being off work	I LOVE being off work	again...i love	True	True
20364	negative	KICKIN BAK......NEED 2 DO MY HW.....I MISS U BABE LOLZ	I MISS U BABE	hw.....i miss	True	True
14730	neutral	_MJA ..I don`t know who gon do the yelling & cussing for upgrades when u go.	I don`t know who gon do the yelling & cussing for upgrades when u go.	_mja ..i don`t know who gon do the yelling & cussing for upgrades when u go.	False	True
16889	negative	The Matrix Online shuts down next month...wow...I feel kinda sad about it	I feel kinda sad about it	month...wow...i feel kinda sad	True	True
10887	positive	today something amazing happened...I fell in love with coupons!	I fell in love with coupons!	amazing happened...i	True	True
26240	negative	Going to shawnee........I hate the long drive there...i just want to get all this paper work over with	I hate the long drive there...	hate the long drive there...i	True	True
4253	negative	notthebest weekend....but oh well....I have a right to be sad	I have a right to be sad	notthebest weekend....but oh well....i have a right to be sad	True	True
22556	negative	I wish I could just go for a drive..or a movie or the store..I just wanna be alone	I just wanna be alone	store..i just wanna be alone	False	True
11307	positive	lol ****...I love those things too	I love	****...i love	False	True
15784	positive	ooooo, an explanation?, Thank god for that or u would forever be wondering!..I love a good night mare tho!!	I love	thank god for that or u would forever be wondering!..i love a good night mare tho!!	False	True
12855	negative	I tired today I think I am gonna take a nap before our friends come over tonight....I miss him and wish he was off restriction already...	I miss him	tonight....i miss	True	True
20673	negative	Son`s 15th Birthday this weekend.Taking him out for a Mexican meal and a major game buying spree.I miss the Lego days	I miss the Lego days	spree.i miss	False	True
2397	negative	gonna do laundry....never did laundry @ a hotel before.....I miss you R.....even though you ignore me and don even check on me....	I miss you R.....	before.....i miss you	True	True
10782	negative	Cat is anxiously watching wild turkeys in my back yard....I think they have their eyes on my bunny rabbit	I think they have their eyes on my bunny rabbit	anxiously	True	True
